Average Background H score for each TF. Number of replicates: 1000
TF_name	BG Z score
HOXA6	882.828297394
TP63	0.000662362504739
HIF1A	6.59970717514
IRF7	24.8606115396
THRB(var.2)	0.775208426691
FOSL2::JUN	33.1889115565
OVOL2	0.4461648885
NRF1	37.7404338853
NFIB	351.955086341
MYB	37.3291351118
Ddit3::Cebpa	1198.57705563
LMX1B	1.44668078035
EMX1	842.454241146
EGR3	3.23903439005
TCFL5	2.13767386134
ATF4	309.614181751
Rarg	6.53122366018e-05
BATF3	458.487000464
ZBTB18	164.350562679
HOXB4	452.04197964
ERF	708.193391779
Foxj2	299.179548576
GFI1	0.0884520349521
HES7	0.0264474515615
DUXA	118.454533352
Arid5a	509.001225565
SP3	110.536066013
PITX3	1502.58317564
VEZF1	5440.78576979
NR2C1	607.788558185
FOS::JUN	2229.99835571
FOXP2	84.6134117826
BARX1	96.0941555036
NFIC(var.2)	5.65461873682
MYOG	122.25038212
KLF16	49.7334192754
PROX1	0.410738672728
Atoh1	427.740568257
ERG	46.6992936448
ZBED1	2.15217189976
DLX6	392.829661116
Tcf12	3.96076386862
PDX1	325.365659967
ESR2	1284.16653923
ATF6	4.07391729932
ESRRB	1014.18022954
Isl1	8918.24928606
MZF1	473.419594944
CREB3	8.53887436484
ELK1	6.28907406185
TFAP4(var.2)	92.4191212801
ATOH7	1760.12066572
Foxf1	225.64514212
CREB3L1	431.446494811
PPARG	217.955306467
SOX15	1477.97748261
ZBTB7A	24.5502014902
MEF2C	46.0733482074
DBP	7615.41708177
MLXIPL	23.2579558756
HES1	150.829218136
FOXD1	1075.60179796
ETS2	0.75596935846
MYF6	744.780426149
Nkx2-5(var.2)	520.46660086
LHX2	149.071298083
POU5F1	739.246994738
FOSL1::JUN(var.2)	146.842215875
Ptf1a(var.2)	201.352768464
DMRTA2	298.829277561
MEF2A	640.213151856
SRF	0.0275136288038
EVX1	487.465444647
FOXC2	1331.3116451
GATA1	221.529318444
PPARA::RXRA	66.8008104205
NKX6-1	962.485567125
TFAP2C(var.3)	27.9219473652
ZBTB7C	2857.96693687
Dux	7.2483482671
GSC	122.860818551
SOX14	50.4096790379
SP2	114.492788087
SMAD2::SMAD3::SMAD4	211.638406174
Foxo1	112.265409804
FOXL1	413.590696842
SOX10	308.496294001
ZIC5	0.00466582470535
MSX2	145.831902242
NR6A1	34.0684436065
NFYA	278.657598672
NKX2-5	141.729119751
FOXC1	179.542685209
SOX13	388.752709578
MSGN1	94.5821202731
ONECUT1	35.1935192596
ZNF341	400.992704355
Znf281	79.4016237452
RORA(var.2)	391.2982731
HOXB2	45.9166924804
GATA5	5.21663958777
ZNF274	5.82460688175
POU4F3	247.170852374
NFIL3	175.560002655
POU6F2	101.31710327
FOSL1::JUNB	188.413132375
EVX2	104.404647071
NR4A2::RXRA	9.60899993489
POU3F3	2845.89405463
ESRRA	32.0656794931
TFAP4	1227.13980855
NFKB1	4.57372105536
ZNF136	28.0594688071
ZNF528	0.037933978535
TFEB	44.1635514472
FOSB::JUNB(var.2)	553.28349668
GRHL2	1293.97230644
NR1H4::RXRA	184.186189471
ELF5	97.5401583257
HIC2	793.163291675
Twist2	7715.11306243
GLI3	28035.913514
IRF2	340.742382211
RAX2	558.933338817
SOX12	141.136947759
MEF2B	18.1495442308
Ascl2	17.3605985139
DPRX	1885.39217149
PHOX2A	304.50905895
Dlx3	1264.56989943
NFIA	0.372244572183
ZSCAN4	0.0118745551749
SREBF2(var.2)	1.79052019762
ZBTB32	50.932509461
E2F8	3485.78365899
FOXO4	530.863671485
Six3	4937.49440064
NFIC::TLX1	165.831809517
TAL1::TCF3	185.077410207
HAND2	45.0960320353
BACH2	1.89451905458
TBX1	9.14436698414
FLI1	7.89790316654
Bach1::Mafk	122.922791168
ASCL1(var.2)	2640.07556526
KLF10	382.196950223
MYCN	470.649430177
GSX1	840.413068279
IKZF1	955.154629358
UNCX	1270.24672237
TFAP2C(var.2)	51.7776800025
HOXB13	1050.05578704
SOX9	829.201917213
NFKB2	0.366787363767
BACH2(var.2)	0.39595956777
PITX1	11.9387323774
RBPJ	125.139690336
HOXA2	790.775133819
HES6	268.820952395
ONECUT3	25.7463375934
Stat5b	979.054225725
OSR1	241.501295794
Dlx2	146.916306185
VSX1	278.498011028
TFAP2A(var.2)	6103.79012974
HOXC11	102.619621233
MAFG	217.972324508
E2F1	9.58766996493
SPIC	238.83423637
DRGX	140.303849099
MYC	21.6479969667
BATF::JUN	141.815649203
RARB(var.3)	319.767573498
PAX3	234.766032801
RORA	2833.88076909
OVOL1	1.3683806853
ZFP42	126.135596169
MNX1	543.883490267
SCRT2	14.932737886
FOXA2	2321.9469148
SP9	747.40929985
Rarb	5.31139230623e-06
Ahr::Arnt	597.227789881
BCL6	14.132517567
HNF4A(var.2)	0.00640168478492
ZNF460	208.789678498
ZKSCAN1	91.7134659643
ESR1	0.0116355479473
TBXT	0.167052849041
FOSL1	108.478140124
NRL	4.6744600466
Ptf1a	2288.40080302
Foxl2	955.349486806
MEIS1	2147.32568359
